customerNumber,customerName,contactLastName,contactFirstName,gender,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,LTV
4883,Matthew Hudson,Hudson,Matthew,Male,001-473-824-1783x15182,907 Walnut St,,Fort Worth,TX,76101,United States,5585,2235.45,2309.13
6628,Abigail Marquez,Marquez,Abigail,Female,9654801483,753 Willow Cir,Suite 10,San Diego,CA,92101,United States,9982,6215.18,4995.95
3255,Dustin Williams,Williams,Dustin,Male,001-761-722-7537x8156,467 Cedar St,,Anaheim,CA,92801,United States,8048,3270.32,5991.54
9229,Robert Thomas,Thomas,Robert,Male,(790)904-8620,543 Alder Dr,Suite 15,Kansas City,MO,64101,United States,5934,3016.82,4014.44
4168,Austin Hinton,Hinton,Austin,Male,001-890-251-0175x601,852 Palm Ave,,Dallas,TX,75201,United States,3910,9097.13,3327.75
1997,Jeffrey Jefferson,Jefferson,Jeffrey,Male,487.531.1641,753 Willow Cir,Suite 10,San Diego,CA,92101,United States,2509,3848.4,6923.86
5229,Suzanne Cherry,Cherry,Suzanne,Female,7659231397,753 Chestnut Cir,,New Orleans,LA,70112,United States,7924,7832.42,4727.96
4093,Thomas Newton,Newton,Thomas,Male,+1-296-350-4741x18739,321 Spruce Dr,,Omaha,NE,68101,United States,5176,8535.34,5657.62
6604,Steven Pearson,Pearson,Steven,Male,220.481.6506x42559,789 Pine Cir,,Raleigh,NC,27601,United States,1708,1836.51,9802.59
5986,John Lawson,Lawson,John,Male,(922)645-6414x6177,679 Dogwood Ln,,Indianapolis,IN,46201,United States,3567,8201.71,6649.07
